11:20:03 logback [main] INFO  org.mongodb.driver.cluster- Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
11:20:03 logback [cluster-ClusterId{value='5ea8f26323e68c73738ac63b', description='null'}-127.0.0.1:27017] INFO  org.mongodb.driver.connection- Opened connection [connectionId{localValue:1, serverValue:16}] to 127.0.0.1:27017
11:20:03 logback [cluster-ClusterId{value='5ea8f26323e68c73738ac63b', description='null'}-127.0.0.1:27017] INFO  org.mongodb.driver.cluster- Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 6]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=4381359}
11:20:05 logback [main] INFO  o.s.s.c.ThreadPoolTaskExecutor- Initializing ExecutorService 'applicationTaskExecutor'
11:20:06 logback [main] INFO  c.p.memory.MemoryApplicationTests- Started MemoryApplicationTests in 12.985 seconds (JVM running for 16.581)
11:20:07 logback [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor- Shutting down ExecutorService 'applicationTaskExecutor'
11:20:45 logback [main] INFO  c.p.memory.MemoryApplicationTests- Starting MemoryApplicationTests on PC-20181213RMDW with PID 12324 (started by Administrator in G:\practice\JAVADocument\memory)
11:20:45 logback [main] INFO  c.p.memory.MemoryApplicationTests- No active profile set, falling back to default profiles: default
11:20:48 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
11:20:48 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate- Finished Spring Data repository scanning in 128ms. Found 1 MongoDB repository interfaces.
11:20:52 logback [main] INFO  org.mongodb.driver.cluster- Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
11:20:52 logback [cluster-ClusterId{value='5ea8f294ee97553ff9f852c5', description='null'}-127.0.0.1:27017] INFO  org.mongodb.driver.connection- Opened connection [connectionId{localValue:1, serverValue:17}] to 127.0.0.1:27017
11:20:52 logback [cluster-ClusterId{value='5ea8f294ee97553ff9f852c5', description='null'}-127.0.0.1:27017] INFO  org.mongodb.driver.cluster- Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 6]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=6075637}
11:20:54 logback [main] INFO  o.s.s.c.ThreadPoolTaskExecutor- Initializing ExecutorService 'applicationTaskExecutor'
11:20:55 logback [main] INFO  c.p.memory.MemoryApplicationTests- Started MemoryApplicationTests in 11.799 seconds (JVM running for 14.971)
11:20:55 logback [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor- Shutting down ExecutorService 'applicationTaskExecutor'
